Ticker,Name,Category,Exchange,Remarks
SPY,SPDR S&P 500 ETF Trust,Equities,US,
IJH,iShares Core S&P Mid-Cap ETF,Equities,US,
IJR,iShares Core S&P Small-Cap ETF,Equities,US,
EFA,iShares MSCI EAFE ETF,Equities,US,
IEMG,iShares Core MSCI Emerging Markets ETF,Equities,US,
AGG,iShares Core U.S. Aggregate Bond ETF,Fixed income,US,
BNDX,Vanguard Total International Bond ETF,Fixed income,US,
IEF,iShares 7-10 Year Treasury Bond ETF,Fixed income,US,
TLT,iShares 20+ Year Treasury Bond ETF,Fixed income,US,
GLD,SPDR Gold Shares,Commodities,US,
RSP,Invesco S&P 500 Equal Weight ETF,Equities,US,
QQQ,Invesco QQQ Trust Series 1,Equities,US,
XLY,Consumer Discretionary Select Sector SPDR Fund,Equities,US,
XLP,Consumer Staples Select Sector SPDR Fund,Equities,US,
XLE,Energy Select Sector SPDR Fund,Equities,US,
XLF,Financial Select Sector SPDR Fund,Equities,US,
XLV,Health Care Select Sector SPDR Fund,Equities,US,
XLI,Industrial Select Sector SPDR Fund,Equities,US,
XLB,Materials Select Sector SPDR Fund,Equities,US,
XLK,Technology Select Sector SPDR Fund,Equities,US,
XLU,Utilities Select Sector SPDR Fund,Equities,US,
SHY,iShares 1-3 Year Treasury Bond ETF,Fixed income,US,
SHV,iShares Short Treasury Bond ETF,Fixed income,US,
KWEB,KraneShares CSI China Internet ETF,Equities,US,
EWT,iShares MSCI Taiwan ETF,Equities,US,
EWH,iShares MSCI Hong Kong ETF,Equities,US,
MCHI,iShares MSCI China ETF,Equities,US,
TIP,iShares TIPS Bond ETF,Fixed income,US,
MOAT,VanEck Morningstar Wide Moat ETF,Equities,US,
SLV,iShares Silver Trust,Commodities,US,
IEUR,iShares Core MSCI Europe ETF,Equities,US,
IWM,iShares Russell 2000 ETF,Equities,US,
DIA,SPDR Dow Jones Industrial Average ETF Trust,Equities,US,
EWJ,iShares MSCI Japan ETF,Equities,US,
INDA,iShares MSCI India ETF,Equities,US,
DXJ,WisdomTree Japan Hedged Equity Fund,Equities,US,
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,Fixed income,US,
CEMB,iShares J.P. Morgan EM Corporate Bond ETF,Fixed income,US,
HYLD,iShares Global High Yield Corp Bond UCITS ETF,Fixed income,London,
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Fixed income,US,
MBB,iShares MBS ETF,Fixed income,US,
IQLT,iShares MSCI Intl Quality Factor ETF,Equities,US,
DIHP,Dimensional International High Profitability ETF,Equities,US,
SPHQ,Invesco Exchange-Traded Fund Trust - Invesco S&P 500 Quality Etf,Equities,US,
XMHQ,Invesco S&P MidCap Quality ETF,Equities,US,
JQUA,JPMorgan US Quality Factor ETF,Equities,US,
DUHP,Dimensional US High Profitability ETF,Equities,US,
IWD,iShares Russell 1000 Value ETF,Equities,US,
SPYV,SPDR Portfolio S&P 500 Value ETF,Equities,US,
COWZ,Pacer US Cash Cows 100 ETF,Equities,US,
DFAT,Dimensional US Targeted Value ETF,Equities,US,Data before June 15 2021 is extended using DFA US Targeted Value Portfolio (DFFVX)
DFUV,Dimensional US Marketwide Value ETF,Equities,US,
DFAC,Dimensional US Core Equity 2 ETF,Equities,US,
QUAL,iShares MSCI USA Quality Factor ETF,Equities,US,
MOTI,VanEck Morningstar International Moat ETF,Equities,US,
USMV,iShares MSCI USA Min Vol Factor ETF,Equities,US,
DFSV,DFA Dimensional US Small Cap Value ETF,Equities,US,
DFEV,DFA Dimensional Emerging Markets Value ETF,Equities,US,
DFIV,Dimensional International Value ETF,Equities,US,
SMMD,iShares Russell 2500 ETF,Equities,US,
DFAX,DFA Dimensional World ex US Core Equity 2 ETF,Equities,US,
URTH,iShares MSCI World ETF,Equities,US,
IUSB,iShares Core Total USD Bond Market ETF,Fixed income,US,
AOK,iShares Core Conservative Allocation ETF,Multi-asset,US,
AOM,iShares Core Moderate Allocation ETF,Multi-asset,US,
AOR,iShares Core Growth Allocation ETF,Multi-asset,US,
HYS,PIMCO 0-5 Year High Yield Corporate Bond Index ETF,Fixed income,US,
FALN,iShares Fallen Angels USD Bond ETF,Fixed income,US,
DFCF,DFA Core Fixed Income ETF,Fixed income,US,
CORP,PIMCO Investment Grade Corporate Bond Index ETF,Fixed income,US,
MINT,PIMCO Enhanced Short Maturity Active ETF,Fixed income,US,
BND,Vanguard Total Bond Market ETF,Fixed income,US,
IAGG,iShares Core International Aggregate Bond ETF,Fixed income,US,
BOND,PIMCO Active Bond Exchange-Traded Fund,Fixed income,US,
GOVT,iShares U.S. Treasury Bond ETF,Fixed income,US,
AGGU,iShares Core Global Aggregate Bond UCITS ETF USD-Hedged-Acc,Fixed income,London,
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,Fixed income,US,
USHY,iShares Broad USD High Yield Corporate Bond ETF,Fixed income,US,
IUAA,iShares US Aggregate Bond UCITS ETF,Fixed income,London,
BBIN,JPMorgan BetaBuilders International Equity ETF,Equities,US,
JREG,JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF,Equities,London,
ACWI,iShares MSCI ACWI ETF,Equities,US,
EIMI,iShares Core MSCI EM IMI UCITS ETF,Equities,London,
BOTZ,Global X Robotics & Artificial Intelligence ETF,Equities,US,
XAIX,Xtrackers Artificial Intelligence & Big Data UCITS ETF,Equities,Swiss,
AIQ,Global X Artificial Intelligence & Technology ETF,Equities,US,
CHAT,Roundhill Generative AI & Technology ETF,Equities,US,
BLOK,Amplify Transformational Data Sharing ETF,Equities,US,
CLOU,Global X Cloud Computing ETF,Equities,US,
QTUM,Defiance Quantum ETF,Equities,US,
CIBR,First Trust NASDAQ Cybersecurity ETF,Equities,US,
ARKF,ARK Fintech Innovation ETF,Equities,US,
ARKW,ARK Next Generation Internet ETF,Equities,US,
ESPO,VanEck Video Gaming and eSports ETF,Equities,US,
SMH,VanEck Semiconductor ETF,Equities,US,
SNSR,Global X Internet of Things ETF,Equities,US,
ICLN,iShares Global Clean Energy ETF,Equities,US,
PHO,Invesco Water Resources ETF,Equities,US,
TAN,Invesco Solar ETF,Equities,US,
FAN,First Trust Global Wind Energy ETF,Equities,US,
DRIV,Global X Autonomous & Electric Vehicles ETF,Equities,US,
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,Equities,US,
LIT,Global X Lithium & Battery Tech ETF,Equities,US,
ESGU,iShares ESG Aware MSCI USA ETF,Equities,US,
ESGD,iShares ESG Aware MSCI EAFE ETF,Equities,US,
ESGE,iShares ESG Aware MSCI EM ETF,Equities,US,
IBB,iShares Biotechnology ETF,Equities,US,
ARKG,ARK Genomic Revolution ETF,Equities,US,
IDNA,iShares Genomics Immunology and Healthcare ETF,Equities,US,
XHE,SPDR S&P Health Care Equipment ETF,Equities,US,
IHF,iShares U.S. Healthcare Providers ETF,Equities,US,
IHI,iShares U.S. Medical Devices ETF,Equities,US,
SBIO,ALPS Medical Breakthroughs ETF,Equities,US,
HEAL,iShares Healthcare Innovation UCITS ETF,Equities,London,
HTEC,ROBO Global R Healthcare Technology and Innovation ETF,Equities,US,
IVV,iShares Core S&P 500 ETF,Equities,US,
IDEV,iShares Core MSCI International Developed Market ETF,Equities,US,
HYDB,iShares High Yield Systematic Bond ETF,Fixed income,US,
CSPX,iShares Core S&P 500 UCITS ETF,Equities,London,
XDEW,Xtrackers S&P 500 Equal Weight UCITS ETF,Equities,London,
M1WO Index,MSCI World Net Total Return USD Index,Index,Index,
M1WD Index,MSCI ACWI Net Total Return USD Index,Index,Index,
SPXT Index,S&P 500 Total Return Index,Index,Index,
SPTGCUT Index,S&P Target Risk Conservative Total Return Index,Index,Index,
SPTGMUT Index,S&P Target Risk Moderate Total Return Index,Index,Index,
SPTGGUT Index,S&P Target Risk Growth Total Return Index,Index,Index,
QWLD,SPDR MSCI World StrategicFactors ETF,Equities,US,
QUS,SPDR MSCI USA StrategicFactors ETF,Equities,US,
IDRV,iShares Self-Driving EV and Tech ETF,Equities,US,
IGPT,Invesco AI and Next Gen Software ETF,Equities,US,
SKYY,First Trust Cloud Computing ETF,Equities,US,
HACK,Amplify Cybersecurity ETF,Equities,US,
FINX,Global X FinTech ETF,Equities,US,
SOXX,iShares Semiconductor ETF,Equities,US,
KURE,KraneShares MSCI All China Health Care Index ETF,Equities,US,
CHIQ,Global X MSCI China Consumer Discretionary ETF,Equities,US,
KGRN,KraneShares MSCI China Clean Technology Index ETF,Equities,US,
CXSE,WisdomTree Trust WisdomTree China ex-State-Owned Enterprises Fund,Equities,US,
KBA,KraneShares Bosera MSCI China A 50 Connect Index ETF,Equities,US,
KSTR,KraneShares SSE STAR Market 50 Index ETF,Equities,US,
XBI,SPDR S&P Biotech ETF,Equities,US,
IXJ,iShares Global Healthcare ETF,Equities,US,
IHE,iShares US Pharmaceuticals ETF,Equities,US,
PPH,VanEck Pharmaceutical ETF,Equities,US,
Core E100,Core E100,Syfe portfolio,Syfe portfolio,
Core Growth,Core Growth,Syfe portfolio,Syfe portfolio,
Core Balanced,Core Balanced,Syfe portfolio,Syfe portfolio,
Core Defensive,Core Defensive,Syfe portfolio,Syfe portfolio,
Thematic Disruptive Tech,Thematic Disruptive Tech,Syfe portfolio,Syfe portfolio,
Thematic Healthcare Innovation,Thematic Healthcare Innovation,Syfe portfolio,Syfe portfolio,
Thematic ESG & Clean Energy,Thematic ESG & Clean Energy,Syfe portfolio,Syfe portfolio,
Thematic China Growth,Thematic China Growth,Syfe portfolio,Syfe portfolio,
